id,width,height
877390-0,2040,1530
762207-2,2016,1512
2208098-0,2080,1560
757972-1,2736,3648
740319-2,1728,2304
1297472-2,2000,1500
772168-0,1560,2080
1159368-0,4000,3000
756317-2,1952,1464
808124-0,2016,1512
994156-2,2000,1500
751726-1,3456,4608
1021652-0,1560,2080
1358080-0,2304,1728
1158540-0,4000,3000
815523-1,1488,1984
882652-1,4608,3456
878391-1,2040,1536
740356-2,2048,1536
905001-2,3648,2736
756198-0,2080,1560
1942746-1,1536,2048
865466-0,2000,1500
935011-0,1632,1224
813909-0,1504,1128
1717812-2,2000,1500
2166762-1,1488,1984
861998-1,2000,1500
918659-2,1500,2000
1339110-1,3456,4608
768286-1,1488,1984
779854-0,2080,1560
1187330-2,2080,1560
900160-2,2816,2112
1973428-1,1560,2080
755708-0,2080,1560
2181559-2,2016,1512
514842-2,4000,3000
2195904-0,2016,1512
882653-1,4608,3456
1297472-1,1500,2000
883137-0,3000,4000
2129349-2,2048,1536
937048-0,1500,2000
663538-1,1464,1952
1122695-0,3072,4096
879274-0,2048,1536
1080058-0,2736,3648
844480-0,2312,1734
745564-1,2736,3648
864160-0,4000,3000
810605-1,1224,1632
882652-3,4608,3456
1251942-2,3648,2736
953205-2,1632,1224
1338912-1,1940,2592
939067-2,2000,1500
1015279-1,2040,1536
756266-1,1464,1952
669627-1,3000,4000
1319304-2,4000,3000
763504-1,2000,1500
781778-0,3648,2736
2208032-3,2080,1560
1936059-0,1500,2000
910743-2,3648,2736
890844-1,2736,3648
740308-0,3000,4000
1137344-0,1952,1464
777534-1,2000,1500
2157438-0,1728,2304
1338912-2,2592,1940
744508-0,1728,2304
2231134-1,4608,3456
2054607-1,864,1152
2200414-0,3456,4608
940275-2,4608,3456
680361-0,2016,1512
1102755-1,1728,2304
660440-0,3456,4608
998807-2,2080,1560
697163-2,1952,1464
995313-4,2080,1560
623644-2,4608,3456
807260-1,1500,2000
690366-2,1512,2016
766957-2,4000,3000
1014984-2,3648,2736
756319-1,1560,2080
2007833-0,3456,4608
669658-0,4000,3000
1936059-1,1500,2000
860575-1,2736,3648
1336749-1,1224,1632
612518-0,1224,1632
723252-2,2000,1496
847333-1,1488,1984
756299-2,2000,1500
2007787-2,4608,3456
782379-0,3456,4608
669698-1,3456,4608
1058098-0,2048,1536
867480-0,2112,2816
877737-1,1500,2000
759343-2,1560,2080
808514-0,2016,1512
876139-1,2080,1560
756115-1,2080,1560
1353220-1,4000,3000
1329720-1,1728,2304
813820-1,1464,1952
776952-2,2304,1728
916292-0,3456,4608
810509-0,2560,1920
2214291-1,1952,1464
2207997-2,2080,1560
2032277-2,3648,2736
2039244-1,1728,2304
